Point,Name,Address,Address2,Type,City,State,Zip,Geometry,Lat,Long,Requires_Appt,Requires_Membership,Under18,Under18_With_Adult,Adults,Wifi,PC_Count,Mac_Count,Linux_Count,Has_Browser,Has_Office,Has_AV,Has_GraphicDesign,Has_Animation,Has_Dev,Contact_Name,Contact_Title,Contact_Phone,Contact_Email,Website,TechSupport,Print_Free,Print_AtCost,Hours,Other_restrictions
,Project H.O.M.E.,1936 N Judson St,,Community Center, Philadelphia, PA,19121,,39.984308,-75.172686,0,1,0,,,,1,0,0,1,1,1,1,0,0,Gina Plata,Adult Learning and Workforce Development Manager,ginaplata@projecthome.org,215-3235-2900,http://www.projecthome.org/,0,0,0,mon-thur 3:00 to 5:00 Fridays 12:00 to 3:00,
,Free Library Hot Spot at Mercy Neighborhood Ministries,1939 W. Venango,,Community Center, Philadelphia, PA,19140,,40.008897,-75.160136,0,,,,,,1,0,0,1,1,1,0,0,0,jennifer donsky,library coordinator,hotspots@freelibrary.org,215.686.5372,,,,,Monday to Friday 1:00-5:00pm,
,Media Mobilizing Project/Philly Student Union,4205 Chestnut St.,,Community Center, Philadelphia, PA,19104,,39.956252,-75.20643,0,,1,,0,,1,0,0,1,1,1,1,1,0,Chris Willis,Youth Site Center Organizer,Chris@mediamobilizing.org,215-668-5631,http://mediamobilizing.org/,,,,"Through the school year, June 17, the center is open M-Th, 3-6PM. The center is open through the summer, M-Th, 11AM-5PM.",
,Philadelphia Community Access Media (PhillyCAM),232 Vine Street,,Community Center, Philadelphia, PA,19106,,39.955572,-75.143676,1,1,,,,,1,0,0,1,1,1,1,1,0,,Gretjen Clausing,gretjen@phillycam.org,267 639 5481,https://phillycam.org/,,,,"PhillyCAM Media lab is open for our member/producers, Monday - Friday from 11:00 am - 6:00 pm.  ",
,Free Library of Philadelphia,68 West Chelten Avenue,,Library, Philadelphia, PA,19144,,40.034602,-75.175702,1,1,,,,,1,0,0,1,1,1,0,0,0,Susan Guggenheim,Computer Lab Trainer (CLT),guggenheims@freelibrary.org,215-284-6038,,1,,,"Per my schedule - see weblink, but mostly: Tues. 3:30-7:30 pm Weds. 6-7:30 pm Thurs. 12:30-3:30 pm Fri. 12:30-3:30 pm Sat. 10:30-4:30 pm",
,Free Library of Philadelphia - West Oak Lane Branch,2000 W. Washington Lane,,Library, Philadelphia, PA,19138,,40.05957,-75.165469,1,1,,,,,1,0,0,1,1,1,0,0,0,Susan Guggenheim,Computer Lab Trainer (CLT),guggenheims@freelibrary.org,215-284-6038,,1,,,"Monday, 12-5 pm Thurs., 4-7:30 pm Fri., 10-12 pm",
,Leadership Network of Philadelphia,643 Cobbs Creek Parkway,,Community Center, Philadelphia, PA,19143,,39.952221,-75.248787,0,,,,,,1,0,0,1,1,1,0,0,0,Chester E. Beckett Jr. ,Executive Director ,Surinity@aol.com,610-734-1150  ,http://www.lnop.org/,,,,Saturdays 10am  - 12noon                1:00pm   - 3.00pm ,
,Logan CDC,5201 Old York Road,,Community Center, Philadelphia, PA,19141,,40.032278,-75.145443,0,,,,,,1,0,0,1,1,1,0,0,0,Carla Robinson,Assistant Director,Carla@LoganCDC.org,215-302-1604 x104,www.logancdc.org/,,,,Monday/Tuesday/Friday - 10am-5pm Wednesday/Thursday - 10am-4pm,
,Philadelphia FIGHT,1233 Locust St,,Community Center, Philadelphia, PA,19107,,39.947974,-75.161705,0,,,,,,1,0,0,1,1,1,1,1,0, ,,,215-985-4448,fight.org/,,,,"Mon 1pm - 5pm, Wed 1pm - 5pm, Fri 1pm - 5pm; Tues 1pm - 7pm, Thurs 1pm - 7pm ",
,Institute for Community Justice,21 S. 12th Street,,Community Center, Philadelphia, PA,19107,,39.951442,-75.159802,0,,,,,,1,0,0,1,1,1,1,1,0, ,,,215-525-0460,http://fight.org/fight-programs/institute-for-community-justice/,,,,"Mon 1pm - 5pm, Tues 1pm - 5pm, Wed 1pm - 5pm, Fri 2pm - 5pm ",
,Youth Health Empowerment Project (Y-HEP),112 N Broad St,,Community Center, Philadelphia, PA,19102,,39.954902,-75.163137,0,,1,,0,,1,0,0,1,1,1,1,1,0, ,,,215-564-6388,www.y-hep.org/,,,,"Tues 1pm - 4pm, Wed 3pm - 6pm, Thurs 3pm - 6pm, Fri 1pm - 5pm ",
,Harmonious Volunteer Center,2800 North 29th Street,,Community Center, Philadelphia, PA,19132,,39.99884,-75.17836,0,,0,1,,,1,0,0,1,1,1,1,0,0,Irvin B. Shannon,Executive Director,hvcorder@hotmail.com,267-595-5278,http://www.harmoniousvolunteercenter.org/,,,,Monday thru Sunday 12p.m. until 6p.m.,
,Bustleton Ave,10199 Bustleton Ave,,Library, Philadelphia, PA,19116,"{""type"":""Point"",""coordinates"":[-75.026169,40.107792]}", , ,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,"MWF 10am - 5pm, Tu/Th 1pm - 9pm, Sat/Sun closed.",
,Katherine Drexel,11099 Knights Road,,Library, Philadelphia, PA,19154,"{""type"":""Point"",""coordinates"":[-74.973571,40.083995]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,"M/W/Sat  10am - 5pm, Tu/Th 12 - 8pm, Sun/Fri Closed",
,Wadsworth Avenue,1500 Wadsworth Ave,,Library, Philadelphia, PA,19150,"{""type"":""Point"",""coordinates"":[-75.173707,40.078946]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,"M/W/Sat  10am - 5pm, Tu/Th 12 - 8pm, Sun/Fri Closed",
,Fox Chase,501 Rhawn St,,Library, Philadelphia, PA,19111,"{""type"":""Point"",""coordinates"":[-75.081942,40.076705]}", ,,1,1,1,1,1,,1,0,0,1,1,,,,,,,,,www.freelibrary.org,,0,1,,
