address,lat,lon,zip
10199 BUSTLETON AVE,40.106132,-75.027161,19116
11099 KNIGHTS ROAD,40.084395,-74.973660,19154
1500 WADSWORTH AVE,40.079188,-75.173858,19150
501 RHAWN ST,40.076616,-75.082424,19111
9233 ROOSEVELT BOULEVARD,40.076958,-75.032008,19114
8711 GERMANTOWN AVE,40.077569,-75.209579,19118
2000 WASHINGTON LANE,40.066966,-75.158219,19138
705 E CATHEDRAL ROAD,40.064079,-75.239437,19128
3079 HOLMES AVE,39.952276,-75.162446,
6945 GERMANTOWN AVE,40.056291,-75.187717,19119
6614 N 12TH ST,40.054718,-75.137418,19126
2228 COTTMAN AVE,40.048530,-75.061443,19149
6098 RISING SUN AVE,40.046066,-75.099628,19111
6017-35 OGONTZ AVE,39.952276,-75.162446,
7810 FRANKFORD AVE,40.040427,-75.031109,19136
6304 CASTOR AVE,40.038413,-75.078440,19149
5501 N 05TH ST,39.952276,-75.162446,
6245 RIDGE AVE,40.036407,-75.218141,19128
68 W CHELTEN AVE,40.034240,-75.176286,19144
1333 WAGNER AVE,40.031803,-75.144711,19141
6742 TORRESDALE AVE,40.025058,-75.045003,19135
231 E WYOMING AVE,40.021263,-75.121446,19120
4634 FRANKFORD AVE,40.015489,-75.084771,19124
3501 MIDVALE AVE,40.014149,-75.191980,19129
3720 N BROAD ST,40.009922,-75.151069,19140
104 W DAUPHIN ST,39.984858,-75.132624,19133
2808 W  LEHIGH AVE,39.996891,-75.177294,19132
601 E INDIANA AVE,39.994211,-75.119899,19134
5325 OVERBROOK AVE,39.994940,-75.233474,19131
601 W LEHIGH AVE,39.992386,-75.142607,19133
2987 ALMOND ST,39.982907,-75.108603,19134
2320 W CECIL B. MOORE AVE,39.980568,-75.172797,19121
1461 N 52ND ST,39.976548,-75.226801,19131
7422 HAVERFORD AVE,39.976899,-75.265058,19151
1217 E MONTGOMERY AVE,39.971836,-75.127363,19125
600 W GIRARD AVE,39.970424,-75.146852,19123
446 N 65TH ST,39.970658,-75.249221,19151
5543 HAVERFORD AVE,39.967222,-75.230776,19139
3320 HAVERFORD AVE,39.964138,-75.190954,19104
1901 VINE ST,39.959111,-75.170396,19103
125 S 52ND ST,39.957681,-75.225281,19139
3948 WALNUT ST,39.953931,-75.201656,19104
5800 COBBS CREEK PARKWAY,39.945819,-75.240399,19143
1201 S 51ST ST,39.942437,-75.218950,19143
23RD & FEDERAL STS,39.952276,-75.162446,
932 S 07TH ST,39.952276,-75.162446,
1700 S BROAD ST,39.929244,-75.168705,19145
200 SNYDER AVE,39.921879,-75.150251,19148
2437 S  BROAD ST,39.920170,-75.170531,19148
1935 SHUNK ST,39.919343,-75.179974,19145
6942 WOODLAND AVE,39.920737,-75.241208,19142
2851 ISLAND AVE,39.905673,-75.240480,19153
1905 LOCUST ST,39.949299,-75.173040,19103
18 S 07TH ST,39.952276,-75.162446,
919 WALNUT ST,39.948391,-75.156798,19107
