"10199 BUSTLETON AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=10199 BUSTLETON AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"11099 KNIGHTS ROAD","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=11099 KNIGHTS ROAD&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1500 WADSWORTH AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1500 WADSWORTH AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"501 RHAWN ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=501 RHAWN ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"9233 ROOSEVELT BOULEVARD","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=9233 ROOSEVELT BOULEVARD&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"8711 GERMANTOWN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=8711 GERMANTOWN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2000 WASHINGTON LANE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2000 WASHINGTON LANE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"705 E CATHEDRAL ROAD","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=705 E CATHEDRAL ROAD&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"3079 HOLMES AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=3079 HOLMES AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6945 GERMANTOWN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6945 GERMANTOWN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6614 N 12TH ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6614 N 12TH ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2228 COTTMAN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2228 COTTMAN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6098 RISING SUN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6098 RISING SUN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6017-35 OGONTZ AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6017-35 OGONTZ AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"7810 FRANKFORD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=7810 FRANKFORD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6304 CASTOR AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6304 CASTOR AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
