cartodb_id,address,branch_nam,cpo_code,objectid,type,created_at,updated_at,the_geom
1,10199 BUSTLETON AVE,BUSTLETON AVE,52004,1,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.026169,40.107792]}"
2,11099 KNIGHTS ROAD,KATHERINE DREXEL,52017,2,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-74.973571,40.083995]}"
3,1500 WADSWORTH AVE,WADSWORTH AVENUE,52041,3,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.173707,40.078946]}"
4,501 RHAWN ST,FOX CHASE,52010,4,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.081942,40.076705]}"
5,9233 ROOSEVELT BOULEVARD,WELSH ROAD,52043,5,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.032103,40.074095]}"
6,8711 GERMANTOWN AVE,CHESTNUT HILL,52006,6,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.209327,40.077726]}"
7,2000 WASHINGTON LANE,WEST OAK LANE,52044,7,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.157769,40.067206]}"
8,705 E CATHEDRAL ROAD,ANDORRA,52001,8,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.238441,40.064331]}"
9,3079 HOLMES AVE,TORRESDALE,52040,9,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.01598,40.056823]}"
10,6945 GERMANTOWN AVE,LOVETT MEMORIAL,52023,10,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.187687,40.056795]}"
11,6614 N 12TH ST,OAK LANE,52027,11,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.137765,40.054588]}"
12,2228 COTTMAN AVE,REGIONAL - NORTHEAST,52110,12,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.061488,40.04816]}"
13,6098 RISING SUN AVE,LAWNCREST,52020,13,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.100092,40.046179]}"
14,6017-35 OGONTZ AVE,OGONTZ,52028,14,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.150728,40.047091]}"
15,7810 FRANKFORD AVE,HOLMESBURG,52016,15,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.031748,40.040429]}"
16,6304 CASTOR AVE,BUSHROD,52003,16,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.0786,40.038683]}"
17,5501 N 05TH ST,GREATER OLNEY,52013,17,Branch,2012/02/25 16:36:44,2012/02/25 16:36:44,"{""type"":""Point"",""coordinates"":[-75.130631,40.03486]}"
